category,uid,mx,my,sx,sy,syx,sxy,b,corners
9,109,356.0145404399008,90.78101781015681,4.70624051885339,11.546419170508415,0.0,0.0,2.0,"[352, 76, 351, 103, 362, 104, 363, 76]"
9,120,361.0145404399008,171.7810178101568,11.548122796252388,4.7045368931094185,0.0,0.0,2.0,"[349, 165, 349, 176, 375, 177, 376, 166]"
9,121,336.0145404399008,169.7810178101568,11.558252070077856,4.6944076192839495,0.0,0.0,2.0,"[324, 164, 324, 175, 350, 175, 350, 164]"
9,122,309.0145404399008,170.7810178101568,11.545404058911004,4.707255630450802,0.0,0.0,2.0,"[297, 175, 323, 176, 323, 165, 297, 164]"
9,126,161.0145404399008,175.7810178101568,4.706589960572607,11.546069728789197,0.0,0.0,2.0,"[153, 183, 171, 184, 171, 165, 154, 165]"
9,127,161.0145404399008,194.7810178101568,4.695590059844658,11.557069629517146,0.0,0.0,2.0,"[153, 184, 153, 204, 170, 204, 170, 184]"
9,130,113.0145404399008,50.78101781015681,4.705910905002638,11.546748784359165,0.0,0.0,2.0,"[109, 63, 117, 63, 118, 37, 110, 37]"
9,138,51.014540439900806,101.78101781015681,11.528017726952275,4.724641962409527,0.0,0.0,2.0,"[43, 106, 61, 107, 62, 96, 44, 95]"
9,139,91.0145404399008,13.781017810156808,11.544149920041896,4.7085097693199085,0.0,0.0,2.0,"[77, 17, 106, 19, 107, 9, 77, 8]"
9,140,13.014540439900802,99.78101781015681,11.436467954081852,4.816191735279952,0.0,0.0,2.0,"[3, 103, 23, 106, 25, 95, 5, 92]"
9,141,34.014540439900806,101.78101781015681,11.507402544653152,4.745257144708651,0.0,0.0,2.0,"[26, 94, 25, 105, 44, 107, 45, 96]"
9,142,71.0145404399008,101.78101781015681,11.538390489782467,4.714269199579335,0.0,0.0,2.0,"[62, 95, 62, 107, 81, 108, 82, 96]"
9,143,91.0145404399008,102.78101781015681,11.544968891074548,4.707690798287256,0.0,0.0,2.0,"[82, 97, 82, 109, 102, 108, 102, 96]"
9,148,218.0145404399008,100.78101781015681,11.538969341099396,4.713690348262406,0.0,0.0,2.0,"[195, 94, 195, 103, 243, 106, 243, 97]"
9,149,269.0145404399008,100.78101781015681,11.558277640052237,4.694382049309566,0.0,0.0,2.0,"[246, 96, 246, 105, 294, 105, 294, 96]"
9,156,151.0145404399008,179.7810178101568,4.793119343812051,11.459540345549753,0.0,0.0,2.0,"[146, 191, 155, 192, 158, 167, 149, 166]"
9,165,22.014540439900802,269.7810178101568,11.555915771130492,4.696743918231312,0.0,0.0,2.0,"[9, 264, 9, 274, 37, 273, 37, 264]"
11,86,166.16397419074934,155.621723909018,2.198315494669352,1.895831312650477,0.0,0.0,2.0,"[163, 154, 163, 157, 168, 157, 168, 154]"
11,87,450.16397419074934,107.621723909018,2.193488975699096,1.9006578316207325,0.0,0.0,2.0,"[448, 106, 449, 110, 453, 110, 452, 105]"
13,131,156.28780829766546,61.39289256890205,20.241622801657126,5.56649813127821,0.0,0.0,2.0,"[131, 49, 130, 57, 170, 61, 171, 53]"
